epoch,G_loss,avg_mae,avg_mse,avg_dice,avg_ssim,avg_psnr
1.0,0.160021,0.005029,0.000728,0.714673,0.960163,33.347647
2.0,0.09988,0.00436,0.000528,0.791115,0.967736,34.703325
3.0,0.08907,0.003608,0.000388,0.82046,0.971256,35.559072
4.0,0.085253,0.003625,0.000445,0.812211,0.970328,35.499714
5.0,0.081353,0.003655,0.000385,0.83208,0.972363,35.456607
6.0,0.078432,0.003511,0.000372,0.829235,0.972906,35.877842
7.0,0.076502,0.003465,0.000359,0.848759,0.972813,36.162349
8.0,0.074738,0.003452,0.00035,0.849975,0.973946,35.953507
9.0,0.072959,0.002953,0.00029,0.844216,0.974828,36.782081
10.0,0.071988,0.002988,0.000285,0.857938,0.974739,36.808232
11.0,0.06887,0.002777,0.000269,0.866724,0.975603,37.126563
12.0,0.067867,0.002864,0.000272,0.854009,0.9754,36.974494
13.0,0.067163,0.00269,0.000254,0.868176,0.976223,37.24006
14.0,0.066456,0.002765,0.000251,0.858295,0.976215,37.353056
15.0,0.066032,0.002725,0.000256,0.856608,0.976464,37.322553
16.0,0.065609,0.002687,0.000249,0.853307,0.976191,37.356659
17.0,0.065034,0.002687,0.000244,0.872212,0.976565,37.475313
18.0,0.064625,0.002659,0.000242,0.868794,0.976603,37.456201
19.0,0.064007,0.002683,0.000262,0.869365,0.976342,37.322139
20.0,0.063772,0.002619,0.000243,0.860101,0.976901,37.398259
21.0,0.062279,0.002558,0.000231,0.869944,0.977185,37.697089
22.0,0.061822,0.00267,0.00024,0.857834,0.976231,37.443708
23.0,0.061444,0.002572,0.000232,0.863666,0.976529,37.665232
24.0,0.061397,0.002519,0.00023,0.864807,0.977314,37.697176
25.0,0.060967,0.002612,0.000234,0.862924,0.977022,37.609155
26.0,0.060306,0.002576,0.000233,0.867117,0.9772,37.636402
27.0,0.060407,0.002561,0.000236,0.86446,0.977418,37.637401
28.0,0.060165,0.002506,0.00023,0.870816,0.97754,37.747958
29.0,0.060012,0.002497,0.000225,0.870573,0.977572,37.794698
30.0,0.059791,0.002515,0.00023,0.867114,0.977595,37.757011
31.0,0.058872,0.002438,0.000223,0.86678,0.977708,37.842047
32.0,0.058686,0.002482,0.000226,0.868341,0.977576,37.786443
33.0,0.058818,0.002448,0.000224,0.871876,0.977656,37.807663
34.0,0.058638,0.002462,0.000226,0.869128,0.97761,37.792669
35.0,0.058289,0.002451,0.000223,0.866134,0.977637,37.830538
